,vignette,sender,infotype,recipient,type
520,"a personal assistant (e.g., Siri, Amazon echo) records the times owner is home which is sent to the local police","a personal assistant (e.g., Siri, Amazon echo)",the times owner is home,the local police,iotNull
521,"a personal assistant (e.g., Siri, Amazon echo) records the times owner is home which is sent to government intelligence agencies","a personal assistant (e.g., Siri, Amazon echo)",the times owner is home,government intelligence agencies,iotNull
522,"a personal assistant (e.g., Siri, Amazon echo) records the times owner is home which is sent to owner's doctor","a personal assistant (e.g., Siri, Amazon echo)",the times owner is home,owner's doctor,iotNull
523,"a personal assistant (e.g., Siri, Amazon echo) records the times owner is home which is sent to an Internet service provider","a personal assistant (e.g., Siri, Amazon echo)",the times owner is home,an Internet service provider,iotNull
524,"a personal assistant (e.g., Siri, Amazon echo) records the times owner is home which is sent to its manufacturer","a personal assistant (e.g., Siri, Amazon echo)",the times owner is home,its manufacturer,iotNull
525,"a personal assistant (e.g., Siri, Amazon echo) records the times owner is home which is sent to other devices in the home","a personal assistant (e.g., Siri, Amazon echo)",the times owner is home,other devices in the home,iotNull
526,"a personal assistant (e.g., Siri, Amazon echo) records the times owner is home which is sent to owner's immediate family","a personal assistant (e.g., Siri, Amazon echo)",the times owner is home,owner's immediate family,iotNull
527,"a personal assistant (e.g., Siri, Amazon echo) records the times owner is home which is sent to owner's social media accounts","a personal assistant (e.g., Siri, Amazon echo)",the times owner is home,owner's social media accounts,iotNull
528,"a personal assistant (e.g., Siri, Amazon echo) records owner's exercise routine which is sent to the local police","a personal assistant (e.g., Siri, Amazon echo)",owner's exercise routine,the local police,iotNull
529,"a personal assistant (e.g., Siri, Amazon echo) records owner's exercise routine which is sent to government intelligence agencies","a personal assistant (e.g., Siri, Amazon echo)",owner's exercise routine,government intelligence agencies,iotNull
530,"a personal assistant (e.g., Siri, Amazon echo) records owner's exercise routine which is sent to owner's doctor","a personal assistant (e.g., Siri, Amazon echo)",owner's exercise routine,owner's doctor,iotNull
531,"a personal assistant (e.g., Siri, Amazon echo) records owner's exercise routine which is sent to an Internet service provider","a personal assistant (e.g., Siri, Amazon echo)",owner's exercise routine,an Internet service provider,iotNull
532,"a personal assistant (e.g., Siri, Amazon echo) records owner's exercise routine which is sent to its manufacturer","a personal assistant (e.g., Siri, Amazon echo)",owner's exercise routine,its manufacturer,iotNull
533,"a personal assistant (e.g., Siri, Amazon echo) records owner's exercise routine which is sent to other devices in the home","a personal assistant (e.g., Siri, Amazon echo)",owner's exercise routine,other devices in the home,iotNull
534,"a personal assistant (e.g., Siri, Amazon echo) records owner's exercise routine which is sent to owner's immediate family","a personal assistant (e.g., Siri, Amazon echo)",owner's exercise routine,owner's immediate family,iotNull
535,"a personal assistant (e.g., Siri, Amazon echo) records owner's exercise routine which is sent to owner's social media accounts","a personal assistant (e.g., Siri, Amazon echo)",owner's exercise routine,owner's social media accounts,iotNull
536,"a personal assistant (e.g., Siri, Amazon echo) records owner's sleeping habits which is sent to the local police","a personal assistant (e.g., Siri, Amazon echo)",owner's sleeping habits,the local police,iotNull
537,"a personal assistant (e.g., Siri, Amazon echo) records owner's sleeping habits which is sent to government intelligence agencies","a personal assistant (e.g., Siri, Amazon echo)",owner's sleeping habits,government intelligence agencies,iotNull
538,"a personal assistant (e.g., Siri, Amazon echo) records owner's sleeping habits which is sent to owner's doctor","a personal assistant (e.g., Siri, Amazon echo)",owner's sleeping habits,owner's doctor,iotNull
539,"a personal assistant (e.g., Siri, Amazon echo) records owner's sleeping habits which is sent to an Internet service provider","a personal assistant (e.g., Siri, Amazon echo)",owner's sleeping habits,an Internet service provider,iotNull
540,"a personal assistant (e.g., Siri, Amazon echo) records owner's sleeping habits which is sent to its manufacturer","a personal assistant (e.g., Siri, Amazon echo)",owner's sleeping habits,its manufacturer,iotNull
541,"a personal assistant (e.g., Siri, Amazon echo) records owner's sleeping habits which is sent to other devices in the home","a personal assistant (e.g., Siri, Amazon echo)",owner's sleeping habits,other devices in the home,iotNull
542,"a personal assistant (e.g., Siri, Amazon echo) records owner's sleeping habits which is sent to owner's immediate family","a personal assistant (e.g., Siri, Amazon echo)",owner's sleeping habits,owner's immediate family,iotNull
543,"a personal assistant (e.g., Siri, Amazon echo) records owner's sleeping habits which is sent to owner's social media accounts","a personal assistant (e.g., Siri, Amazon echo)",owner's sleeping habits,owner's social media accounts,iotNull
544,"a personal assistant (e.g., Siri, Amazon echo) records audio of owner which is sent to the local police","a personal assistant (e.g., Siri, Amazon echo)",audio of owner,the local police,iotNull
545,"a personal assistant (e.g., Siri, Amazon echo) records audio of owner which is sent to government intelligence agencies","a personal assistant (e.g., Siri, Amazon echo)",audio of owner,government intelligence agencies,iotNull
546,"a personal assistant (e.g., Siri, Amazon echo) records audio of owner which is sent to owner's doctor","a personal assistant (e.g., Siri, Amazon echo)",audio of owner,owner's doctor,iotNull
547,"a personal assistant (e.g., Siri, Amazon echo) records audio of owner which is sent to an Internet service provider","a personal assistant (e.g., Siri, Amazon echo)",audio of owner,an Internet service provider,iotNull
548,"a personal assistant (e.g., Siri, Amazon echo) records audio of owner which is sent to its manufacturer","a personal assistant (e.g., Siri, Amazon echo)",audio of owner,its manufacturer,iotNull
549,"a personal assistant (e.g., Siri, Amazon echo) records audio of owner which is sent to other devices in the home","a personal assistant (e.g., Siri, Amazon echo)",audio of owner,other devices in the home,iotNull
550,"a personal assistant (e.g., Siri, Amazon echo) records audio of owner which is sent to owner's immediate family","a personal assistant (e.g., Siri, Amazon echo)",audio of owner,owner's immediate family,iotNull
551,"a personal assistant (e.g., Siri, Amazon echo) records audio of owner which is sent to owner's social media accounts","a personal assistant (e.g., Siri, Amazon echo)",audio of owner,owner's social media accounts,iotNull
552,"a personal assistant (e.g., Siri, Amazon echo) records video of owner which is sent to the local police","a personal assistant (e.g., Siri, Amazon echo)",video of owner,the local police,iotNull
553,"a personal assistant (e.g., Siri, Amazon echo) records video of owner which is sent to government intelligence agencies","a personal assistant (e.g., Siri, Amazon echo)",video of owner,government intelligence agencies,iotNull
554,"a personal assistant (e.g., Siri, Amazon echo) records video of owner which is sent to owner's doctor","a personal assistant (e.g., Siri, Amazon echo)",video of owner,owner's doctor,iotNull
555,"a personal assistant (e.g., Siri, Amazon echo) records video of owner which is sent to an Internet service provider","a personal assistant (e.g., Siri, Amazon echo)",video of owner,an Internet service provider,iotNull
556,"a personal assistant (e.g., Siri, Amazon echo) records video of owner which is sent to its manufacturer","a personal assistant (e.g., Siri, Amazon echo)",video of owner,its manufacturer,iotNull
557,"a personal assistant (e.g., Siri, Amazon echo) records video of owner which is sent to other devices in the home","a personal assistant (e.g., Siri, Amazon echo)",video of owner,other devices in the home,iotNull
558,"a personal assistant (e.g., Siri, Amazon echo) records video of owner which is sent to owner's immediate family","a personal assistant (e.g., Siri, Amazon echo)",video of owner,owner's immediate family,iotNull
559,"a personal assistant (e.g., Siri, Amazon echo) records video of owner which is sent to owner's social media accounts","a personal assistant (e.g., Siri, Amazon echo)",video of owner,owner's social media accounts,iotNull
560,"a personal assistant (e.g., Siri, Amazon echo) records owner's heart rate which is sent to the local police","a personal assistant (e.g., Siri, Amazon echo)",owner's heart rate,the local police,iotNull
561,"a personal assistant (e.g., Siri, Amazon echo) records owner's heart rate which is sent to government intelligence agencies","a personal assistant (e.g., Siri, Amazon echo)",owner's heart rate,government intelligence agencies,iotNull
562,"a personal assistant (e.g., Siri, Amazon echo) records owner's heart rate which is sent to owner's doctor","a personal assistant (e.g., Siri, Amazon echo)",owner's heart rate,owner's doctor,iotNull
563,"a personal assistant (e.g., Siri, Amazon echo) records owner's heart rate which is sent to an Internet service provider","a personal assistant (e.g., Siri, Amazon echo)",owner's heart rate,an Internet service provider,iotNull
564,"a personal assistant (e.g., Siri, Amazon echo) records owner's heart rate which is sent to its manufacturer","a personal assistant (e.g., Siri, Amazon echo)",owner's heart rate,its manufacturer,iotNull
565,"a personal assistant (e.g., Siri, Amazon echo) records owner's heart rate which is sent to other devices in the home","a personal assistant (e.g., Siri, Amazon echo)",owner's heart rate,other devices in the home,iotNull
566,"a personal assistant (e.g., Siri, Amazon echo) records owner's heart rate which is sent to owner's immediate family","a personal assistant (e.g., Siri, Amazon echo)",owner's heart rate,owner's immediate family,iotNull
567,"a personal assistant (e.g., Siri, Amazon echo) records owner's heart rate which is sent to owner's social media accounts","a personal assistant (e.g., Siri, Amazon echo)",owner's heart rate,owner's social media accounts,iotNull
568,"a personal assistant (e.g., Siri, Amazon echo) records the times it is used which is sent to the local police","a personal assistant (e.g., Siri, Amazon echo)",the times it is used,the local police,iotNull
569,"a personal assistant (e.g., Siri, Amazon echo) records the times it is used which is sent to government intelligence agencies","a personal assistant (e.g., Siri, Amazon echo)",the times it is used,government intelligence agencies,iotNull
570,"a personal assistant (e.g., Siri, Amazon echo) records the times it is used which is sent to owner's doctor","a personal assistant (e.g., Siri, Amazon echo)",the times it is used,owner's doctor,iotNull
571,"a personal assistant (e.g., Siri, Amazon echo) records the times it is used which is sent to an Internet service provider","a personal assistant (e.g., Siri, Amazon echo)",the times it is used,an Internet service provider,iotNull
572,"a personal assistant (e.g., Siri, Amazon echo) records the times it is used which is sent to its manufacturer","a personal assistant (e.g., Siri, Amazon echo)",the times it is used,its manufacturer,iotNull
573,"a personal assistant (e.g., Siri, Amazon echo) records the times it is used which is sent to other devices in the home","a personal assistant (e.g., Siri, Amazon echo)",the times it is used,other devices in the home,iotNull
574,"a personal assistant (e.g., Siri, Amazon echo) records the times it is used which is sent to owner's immediate family","a personal assistant (e.g., Siri, Amazon echo)",the times it is used,owner's immediate family,iotNull
575,"a personal assistant (e.g., Siri, Amazon echo) records the times it is used which is sent to owner's social media accounts","a personal assistant (e.g., Siri, Amazon echo)",the times it is used,owner's social media accounts,iotNull
