,vignette,recipient,source,duration,place,inference,type
850,A commercial data brooker acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,a fitness app,a year,a liquor store,whether they have a drinking problem,location3
851,A commercial data brooker acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,a fitness app,about six months,a liquor store,whether they have a drinking problem,location3
852,A commercial data brooker acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,a fitness app,a month,a liquor store,whether they have a drinking problem,location3
853,A commercial data brooker acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,a fitness app,a few days,a liquor store,whether they have a drinking problem,location3
854,A commercial data brooker acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,a fitness app,a few minutes,a liquor store,whether they have a drinking problem,location3
855,A commercial data brooker acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,a fitness app,a year,a shoe store,how susceptible they are to show ads,location3
856,A commercial data brooker acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,a fitness app,about six months,a shoe store,how susceptible they are to show ads,location3
857,A commercial data brooker acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,a fitness app,a month,a shoe store,how susceptible they are to show ads,location3
858,A commercial data brooker acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,a fitness app,a few days,a shoe store,how susceptible they are to show ads,location3
859,A commercial data brooker acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,a fitness app,a few minutes,a shoe store,how susceptible they are to show ads,location3
860,A commercial data brooker acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,a fitness app,a year,home,how often they spend the nigh away from home,location3
861,A commercial data brooker acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,a fitness app,about six months,home,how often they spend the nigh away from home,location3
862,A commercial data brooker acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,a fitness app,a month,home,how often they spend the nigh away from home,location3
863,A commercial data brooker acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,a fitness app,a few days,home,how often they spend the nigh away from home,location3
864,A commercial data brooker acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,a fitness app,a few minutes,home,how often they spend the nigh away from home,location3
865,A commercial data brooker acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,a fitness app,a year,work,whether they are dedicated workers,location3
866,A commercial data brooker acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,a fitness app,about six months,work,whether they are dedicated workers,location3
867,A commercial data brooker acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,a fitness app,a month,work,whether they are dedicated workers,location3
868,A commercial data brooker acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,a fitness app,a few days,work,whether they are dedicated workers,location3
869,A commercial data brooker acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,a fitness app,a few minutes,work,whether they are dedicated workers,location3
870,A commercial data brooker acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,a fitness app,a year,a medical clinic,whether they have a chronic illness,location3
871,A commercial data brooker acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,a fitness app,about six months,a medical clinic,whether they have a chronic illness,location3
872,A commercial data brooker acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,a fitness app,a month,a medical clinic,whether they have a chronic illness,location3
873,A commercial data brooker acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,a fitness app,a few days,a medical clinic,whether they have a chronic illness,location3
874,A commercial data brooker acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,a fitness app,a few minutes,a medical clinic,whether they have a chronic illness,location3
875,A commercial data brooker acquires location data from a fitness app for a period of a year and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,a fitness app,a year,a voting site,how regularly they vote,location3
876,A commercial data brooker acquires location data from a fitness app for a period of about six months and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,a fitness app,about six months,a voting site,how regularly they vote,location3
877,A commercial data brooker acquires location data from a fitness app for a period of a month and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,a fitness app,a month,a voting site,how regularly they vote,location3
878,A commercial data brooker acquires location data from a fitness app for a period of a few days and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,a fitness app,a few days,a voting site,how regularly they vote,location3
879,A commercial data brooker acquires location data from a fitness app for a period of a few minutes and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,a fitness app,a few minutes,a voting site,how regularly they vote,location3
880,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,A commercial data brooker,from geo-tagged posts from social media,a year,a restaurant or a cafe,who your friends are,location3
881,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,A commercial data brooker,from geo-tagged posts from social media,about six months,a restaurant or a cafe,who your friends are,location3
882,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,A commercial data brooker,from geo-tagged posts from social media,a month,a restaurant or a cafe,who your friends are,location3
883,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,A commercial data brooker,from geo-tagged posts from social media,a few days,a restaurant or a cafe,who your friends are,location3
884,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,A commercial data brooker,from geo-tagged posts from social media,a few minutes,a restaurant or a cafe,who your friends are,location3
885,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,A commercial data brooker,from geo-tagged posts from social media,a year,the mall,whether they are active in their political beliefs in attending protests,location3
886,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,A commercial data brooker,from geo-tagged posts from social media,about six months,the mall,whether they are active in their political beliefs in attending protests,location3
887,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,A commercial data brooker,from geo-tagged posts from social media,a month,the mall,whether they are active in their political beliefs in attending protests,location3
888,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,A commercial data brooker,from geo-tagged posts from social media,a few days,the mall,whether they are active in their political beliefs in attending protests,location3
889,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,A commercial data brooker,from geo-tagged posts from social media,a few minutes,the mall,whether they are active in their political beliefs in attending protests,location3
890,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,from geo-tagged posts from social media,a year,a liquor store,whether they have a drinking problem,location3
891,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,from geo-tagged posts from social media,about six months,a liquor store,whether they have a drinking problem,location3
892,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,from geo-tagged posts from social media,a month,a liquor store,whether they have a drinking problem,location3
893,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,from geo-tagged posts from social media,a few days,a liquor store,whether they have a drinking problem,location3
894,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,from geo-tagged posts from social media,a few minutes,a liquor store,whether they have a drinking problem,location3
895,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,from geo-tagged posts from social media,a year,a shoe store,how susceptible they are to show ads,location3
896,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,from geo-tagged posts from social media,about six months,a shoe store,how susceptible they are to show ads,location3
897,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,from geo-tagged posts from social media,a month,a shoe store,how susceptible they are to show ads,location3
898,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,from geo-tagged posts from social media,a few days,a shoe store,how susceptible they are to show ads,location3
899,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,from geo-tagged posts from social media,a few minutes,a shoe store,how susceptible they are to show ads,location3
900,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,from geo-tagged posts from social media,a year,home,how often they spend the nigh away from home,location3
901,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,from geo-tagged posts from social media,about six months,home,how often they spend the nigh away from home,location3
902,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,from geo-tagged posts from social media,a month,home,how often they spend the nigh away from home,location3
903,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,from geo-tagged posts from social media,a few days,home,how often they spend the nigh away from home,location3
904,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,from geo-tagged posts from social media,a few minutes,home,how often they spend the nigh away from home,location3
905,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,from geo-tagged posts from social media,a year,work,whether they are dedicated workers,location3
906,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,from geo-tagged posts from social media,about six months,work,whether they are dedicated workers,location3
907,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,from geo-tagged posts from social media,a month,work,whether they are dedicated workers,location3
908,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,from geo-tagged posts from social media,a few days,work,whether they are dedicated workers,location3
909,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,from geo-tagged posts from social media,a few minutes,work,whether they are dedicated workers,location3
910,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,from geo-tagged posts from social media,a year,a medical clinic,whether they have a chronic illness,location3
911,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,from geo-tagged posts from social media,about six months,a medical clinic,whether they have a chronic illness,location3
912,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,from geo-tagged posts from social media,a month,a medical clinic,whether they have a chronic illness,location3
913,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,from geo-tagged posts from social media,a few days,a medical clinic,whether they have a chronic illness,location3
914,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,from geo-tagged posts from social media,a few minutes,a medical clinic,whether they have a chronic illness,location3
915,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a year and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,from geo-tagged posts from social media,a year,a voting site,how regularly they vote,location3
916,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of about six months and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,from geo-tagged posts from social media,about six months,a voting site,how regularly they vote,location3
917,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a month and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,from geo-tagged posts from social media,a month,a voting site,how regularly they vote,location3
918,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few days and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,from geo-tagged posts from social media,a few days,a voting site,how regularly they vote,location3
919,A commercial data brooker acquires location data from from geo-tagged posts from social media for a period of a few minutes and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,from geo-tagged posts from social media,a few minutes,a voting site,how regularly they vote,location3
920,A commercial data brooker acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,A commercial data brooker,a mapping app,a year,a restaurant or a cafe,who your friends are,location3
921,A commercial data brooker acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,A commercial data brooker,a mapping app,about six months,a restaurant or a cafe,who your friends are,location3
922,A commercial data brooker acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,A commercial data brooker,a mapping app,a month,a restaurant or a cafe,who your friends are,location3
923,A commercial data brooker acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,A commercial data brooker,a mapping app,a few days,a restaurant or a cafe,who your friends are,location3
924,A commercial data brooker acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,A commercial data brooker,a mapping app,a few minutes,a restaurant or a cafe,who your friends are,location3
925,A commercial data brooker acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,A commercial data brooker,a mapping app,a year,the mall,whether they are active in their political beliefs in attending protests,location3
926,A commercial data brooker acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,A commercial data brooker,a mapping app,about six months,the mall,whether they are active in their political beliefs in attending protests,location3
927,A commercial data brooker acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,A commercial data brooker,a mapping app,a month,the mall,whether they are active in their political beliefs in attending protests,location3
928,A commercial data brooker acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,A commercial data brooker,a mapping app,a few days,the mall,whether they are active in their political beliefs in attending protests,location3
929,A commercial data brooker acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,A commercial data brooker,a mapping app,a few minutes,the mall,whether they are active in their political beliefs in attending protests,location3
930,A commercial data brooker acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,a mapping app,a year,a liquor store,whether they have a drinking problem,location3
931,A commercial data brooker acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,a mapping app,about six months,a liquor store,whether they have a drinking problem,location3
932,A commercial data brooker acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,a mapping app,a month,a liquor store,whether they have a drinking problem,location3
933,A commercial data brooker acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,a mapping app,a few days,a liquor store,whether they have a drinking problem,location3
934,A commercial data brooker acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,A commercial data brooker,a mapping app,a few minutes,a liquor store,whether they have a drinking problem,location3
935,A commercial data brooker acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,a mapping app,a year,a shoe store,how susceptible they are to show ads,location3
936,A commercial data brooker acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,a mapping app,about six months,a shoe store,how susceptible they are to show ads,location3
937,A commercial data brooker acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,a mapping app,a month,a shoe store,how susceptible they are to show ads,location3
938,A commercial data brooker acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,a mapping app,a few days,a shoe store,how susceptible they are to show ads,location3
939,A commercial data brooker acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,A commercial data brooker,a mapping app,a few minutes,a shoe store,how susceptible they are to show ads,location3
940,A commercial data brooker acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,a mapping app,a year,home,how often they spend the nigh away from home,location3
941,A commercial data brooker acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,a mapping app,about six months,home,how often they spend the nigh away from home,location3
942,A commercial data brooker acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,a mapping app,a month,home,how often they spend the nigh away from home,location3
943,A commercial data brooker acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,a mapping app,a few days,home,how often they spend the nigh away from home,location3
944,A commercial data brooker acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at home and how often they spend the nigh away from home,A commercial data brooker,a mapping app,a few minutes,home,how often they spend the nigh away from home,location3
945,A commercial data brooker acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,a mapping app,a year,work,whether they are dedicated workers,location3
946,A commercial data brooker acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,a mapping app,about six months,work,whether they are dedicated workers,location3
947,A commercial data brooker acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,a mapping app,a month,work,whether they are dedicated workers,location3
948,A commercial data brooker acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,a mapping app,a few days,work,whether they are dedicated workers,location3
949,A commercial data brooker acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at work and whether they are dedicated workers,A commercial data brooker,a mapping app,a few minutes,work,whether they are dedicated workers,location3
950,A commercial data brooker acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,a mapping app,a year,a medical clinic,whether they have a chronic illness,location3
951,A commercial data brooker acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,a mapping app,about six months,a medical clinic,whether they have a chronic illness,location3
952,A commercial data brooker acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,a mapping app,a month,a medical clinic,whether they have a chronic illness,location3
953,A commercial data brooker acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,a mapping app,a few days,a medical clinic,whether they have a chronic illness,location3
954,A commercial data brooker acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a medical clinic and whether they have a chronic illness,A commercial data brooker,a mapping app,a few minutes,a medical clinic,whether they have a chronic illness,location3
955,A commercial data brooker acquires location data from a mapping app for a period of a year and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,a mapping app,a year,a voting site,how regularly they vote,location3
956,A commercial data brooker acquires location data from a mapping app for a period of about six months and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,a mapping app,about six months,a voting site,how regularly they vote,location3
957,A commercial data brooker acquires location data from a mapping app for a period of a month and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,a mapping app,a month,a voting site,how regularly they vote,location3
958,A commercial data brooker acquires location data from a mapping app for a period of a few days and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,a mapping app,a few days,a voting site,how regularly they vote,location3
959,A commercial data brooker acquires location data from a mapping app for a period of a few minutes and uses this data to figure out if a person was at a voting site and how regularly they vote,A commercial data brooker,a mapping app,a few minutes,a voting site,how regularly they vote,location3
960,a commercial location based service acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,a commercial location based service,license plate reader,a year,a restaurant or a cafe,who your friends are,location3
961,a commercial location based service acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,a commercial location based service,license plate reader,about six months,a restaurant or a cafe,who your friends are,location3
962,a commercial location based service acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,a commercial location based service,license plate reader,a month,a restaurant or a cafe,who your friends are,location3
963,a commercial location based service acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,a commercial location based service,license plate reader,a few days,a restaurant or a cafe,who your friends are,location3
964,a commercial location based service acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a restaurant or a cafe and who your friends are,a commercial location based service,license plate reader,a few minutes,a restaurant or a cafe,who your friends are,location3
965,a commercial location based service acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,a commercial location based service,license plate reader,a year,the mall,whether they are active in their political beliefs in attending protests,location3
966,a commercial location based service acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,a commercial location based service,license plate reader,about six months,the mall,whether they are active in their political beliefs in attending protests,location3
967,a commercial location based service acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,a commercial location based service,license plate reader,a month,the mall,whether they are active in their political beliefs in attending protests,location3
968,a commercial location based service acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,a commercial location based service,license plate reader,a few days,the mall,whether they are active in their political beliefs in attending protests,location3
969,a commercial location based service acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at the mall and whether they are active in their political beliefs in attending protests,a commercial location based service,license plate reader,a few minutes,the mall,whether they are active in their political beliefs in attending protests,location3
970,a commercial location based service acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,a commercial location based service,license plate reader,a year,a liquor store,whether they have a drinking problem,location3
971,a commercial location based service acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,a commercial location based service,license plate reader,about six months,a liquor store,whether they have a drinking problem,location3
972,a commercial location based service acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,a commercial location based service,license plate reader,a month,a liquor store,whether they have a drinking problem,location3
973,a commercial location based service acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,a commercial location based service,license plate reader,a few days,a liquor store,whether they have a drinking problem,location3
974,a commercial location based service acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a liquor store and whether they have a drinking problem,a commercial location based service,license plate reader,a few minutes,a liquor store,whether they have a drinking problem,location3
975,a commercial location based service acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,a commercial location based service,license plate reader,a year,a shoe store,how susceptible they are to show ads,location3
976,a commercial location based service acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,a commercial location based service,license plate reader,about six months,a shoe store,how susceptible they are to show ads,location3
977,a commercial location based service acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,a commercial location based service,license plate reader,a month,a shoe store,how susceptible they are to show ads,location3
978,a commercial location based service acquires location data from license plate reader for a period of a few days and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,a commercial location based service,license plate reader,a few days,a shoe store,how susceptible they are to show ads,location3
979,a commercial location based service acquires location data from license plate reader for a period of a few minutes and uses this data to figure out if a person was at a shoe store and how susceptible they are to show ads,a commercial location based service,license plate reader,a few minutes,a shoe store,how susceptible they are to show ads,location3
980,a commercial location based service acquires location data from license plate reader for a period of a year and uses this data to figure out if a person was at home and how often they spend the nigh away from home,a commercial location based service,license plate reader,a year,home,how often they spend the nigh away from home,location3
981,a commercial location based service acquires location data from license plate reader for a period of about six months and uses this data to figure out if a person was at home and how often they spend the nigh away from home,a commercial location based service,license plate reader,about six months,home,how often they spend the nigh away from home,location3
982,a commercial location based service acquires location data from license plate reader for a period of a month and uses this data to figure out if a person was at home and how often they spend the nigh away from home,a commercial location based service,license plate reader,a month,home,how often they spend the nigh away from home,location3
